S.No,Project,Sector,State,District,Budget_Outlay_Cr,Amount_Spent_Cr,Implementation_Mode,Year,Company
1,Education- School Support Program,Education,Andhra Pradesh,Guntur,0,2.34,Other Implementing agencies,FY 2023-24,Ambuja Cements Limited
2,Monitoring & Research,Rural Development Projects,Andhra Pradesh,Guntur,0,1.5,Other Implementing agencies,FY 2023-24,Ambuja Cements Limited
3,Skill And Entrepreneurship Development Institute (Sedi),Education,Chhattisgarh,Raigarh,0,10.4,Other Implementing agencies,FY 2023-24,Ambuja Cements Limited
4,Water Harvesting & Recharge,Gender Equality,Gujarat,Gandhinagar,0,3.95,Other Implementing agencies,FY 2023-24,Ambuja Cements Limited
5,Promotion Of Horticulture And Vegetables Cultivation,"Poverty, Eradicating Hunger, Malnutrition",Gujarat,Gandhinagar,0,0.24,Other Implementing agencies,FY 2023-24,Ambuja Cements Limited
6,Water Use Efficiency,Safe Drinking Water,Gujarat,Nec/ Not Mentioned,0,1.24,Other Implementing agencies,FY 2023-24,Ambuja Cements Limited
7,Women Self Help Groups,Education,Gujarat,Surat,0,2.53,Other Implementing agencies,FY 2023-24,Ambuja Cements Limited
8,Health Care,Education,Himachal Pradesh,Solan,0,3,Other Implementing agencies,FY 2023-24,Ambuja Cements Limited
9,"Project Planning, Design, Strategy & Oversite",Rural Development Projects,Madhya Pradesh,Chhindwara,0,5.1,Other Implementing agencies,FY 2023-24,Ambuja Cements Limited
10,Education- School Support Program,Education,Maharashtra,Mumbai City,0,3.82,Other Implementing agencies,FY 2023-24,Ambuja Cements Limited
11,Micro Enterprise/ Income Generation Program In Self Help Groups,Education,Pan India,Bathinda,0,0.47,Other Implementing agencies,FY 2023-24,Ambuja Cements Limited
12,Animal Husbandry And Dairy,"Poverty, Eradicating Hunger, Malnutrition",Pan India,Bathinda,0,0.48,Other Implementing agencies,FY 2023-24,Ambuja Cements Limited
13,Farmer Producer Organisations,"Poverty, Eradicating Hunger, Malnutrition",Pan India,Howrah,0,0.55,Other Implementing agencies,FY 2023-24,Ambuja Cements Limited
14,Women Federation,Education,Pan India,Nec/ Not Mentioned,0,0.24,Other Implementing agencies,FY 2023-24,Ambuja Cements Limited
15,Community Healthcare,"Poverty, Eradicating Hunger, Malnutrition",Pan India,Pune,0,5.09,Other Implementing agencies,FY 2023-24,Ambuja Cements Limited
16,Special School: Ambuja Manovikas Kendra,Education,Pan India,Raigarh,0,0.53,Other Implementing agencies,FY 2023-24,Ambuja Cements Limited
17,Drinking Water Program,"Poverty, Eradicating Hunger, Malnutrition",Pan India,Raigarh,0,1.56,Other Implementing agencies,FY 2023-24,Ambuja Cements Limited
18,Integrated Crop Management,"Poverty, Eradicating Hunger, Malnutrition",Pan India,Solan,0,3.34,Other Implementing agencies,FY 2023-24,Ambuja Cements Limited
19,Sanitation,Sanitation,Punjab,Bathinda,0,0.17,Other Implementing agencies,FY 2023-24,Ambuja Cements Limited
